num,angular_velocity
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.458748314663
70,2.75260962129
71,5.0464084446
72,6.42261072259
73,7.79901393655
74,10.0924923897
75,12.8443374186
76,14.2208447479
77,16.056539286
78,18.3503066399
79,19.2676334421
80,20.6441219785
81,22.0203815101
82,22.9379069482
83,24.3140376686
84,25.690046451
85,27.0662889178
86,28.4422428472
87,29.3548500029
88,30.2728268302
89,31.1952160525
90,31.6538070196
91,33.0295193094
92,33.9459632104
93,33.9466726589
94,34.8659857478
95,36.2428177974
96,37.6187338063
97,38.9940105366
98,39.4515384612
99,39.9107019216
100,40.8294621542
101,41.7471837488
102,42.6651576734
103,43.1232471612
104,43.5808743865
105,44.9549541221
106,45.8729280183
107,46.3352827315
108,47.2535429165
109,48.1698231285
110,49.5450852392
111,50.004091268
112,50.0004182616
113,50.9184589606
114,51.3803558679
115,51.8339421235
116,52.7522595115
117,53.6727042604
118,54.5893559107
119,55.5088418748
120,55.5094198676
121,55.5100075303
122,56.4269223135
123,57.3441567156
124,58.2625599778
125,59.1803955363
126,60.0975904988
127,60.5550984624
128,60.9438980447
129,61.4042447306
130,62.391381551
131,62.8485316779
132,63.3086159458
133,64.6862161102
134,65.6034009665
135,66.0618249387
136,66.5202392844
137,66.9776022225
138,67.8951248163
139,69.2717180202
140,69.7304759683
141,69.7319333048
142,70.1906912528
143,70.189240889
144,70.6483709738
145,72.0212172711
146,72.9387427092
147,74.3191692672
148,74.3191692672
149,73.8607977688
150,74.3172419105
151,75.6939308386
152,78.4475725477
153,79.824290111
154,79.3671908876
155,79.3671908876
156,80.2851457319
157,80.7405512527
158,82.1146972392
159,82.1155449267
160,81.1980481139
161,80.7397195278
162,81.1984679342
163,83.0356323573
164,83.9544459342
165,84.4048628544
166,83.9456576267
167,83.951370972
168,85.3281016378
169,86.7052387091
170,86.6967020852
171,86.2384060871
172,86.2478396838
173,87.6241135281
174,89.4577998751
175,88.9985839221
176,88.9957697978
177,89.454522975
178,90.37342176
179,91.2914004319
180,91.293785874
181,91.7525438221
182,91.2914056617
183,91.7516092478
184,92.6719967877
185,92.6690963358
186,93.584183802
187,94.0458565152
188,94.0463479061
