num,angular_velocity
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,468.0
20,1331.98643541
21,2087.98643541
22,2627.97795755
23,2915.96223291
24,3167.95844217
25,3419.94664883
26,3671.92287532
27,3959.90771258
28,4247.92306222
29,4427.96574293
30,4536.0
31,4643.97566425
32,4679.93916082
33,4643.90359413
34,4679.92750482
35,4787.97486493
36,4895.93554315
37,5003.93498155
38,5003.93522994
39,5003.93522994
40,4967.94846307
41,4895.94883747
42,4895.96181153
43,4895.96181153
44,4967.96106274
45,5111.97379227
46,5075.96100181
47,4931.93554288
48,4895.91064993
49,4895.93610887
50,4967.96068861
51,5147.91969245
52,5255.91800768
53,5183.95900384
54,5147.93260975
55,5075.91969302
56,4967.92250095
57,5039.88225398
58,5147.94683631
59,5219.95874105
60,5183.91861248
61,4967.9345457
62,4859.92351214
63,4823.93648273
64,4859.93573035
65,5003.89541859
66,5075.93404197
67,5075.93429396
68,5003.89591896
69,4823.94833387
70,4752.0
71,4931.96068861
72,5111.92025404
73,5183.91887167
74,5183.91887167
75,5075.92056724
76,4967.9090873
77,4895.92300095
78,4931.96181153
79,5075.92018621
80,5183.91962461
81,5219.98633447
82,5076.0
83,4895.93728963
84,4859.89910143
85,4931.90989728
86,5039.8946662
87,5075.86770719
88,5039.85535619
89,5003.86939901
90,4931.90971036
91,4859.96199873
92,4895.96162433
93,4967.94833334
94,5111.97416667
95,5183.97341788
96,5039.92175175
97,4931.91014567
98,4859.94926946
99,4859.98745767
100,4932.0
101,4931.98727047
102,4967.93485556
103,4967.93485556
104,4895.93635313
105,4823.92413492
106,4787.96250993
107,4823.94983105
108,4895.96237339
109,4967.9612502
110,5003.93504248
111,4967.96106274
112,4931.94852067
113,4859.93630247
114,4823.92413492
115,4931.94908266
116,4968.0
117,5004.0
118,5003.94833387
119,4895.91070726
120,4787.91295361
121,4751.93822509
122,4751.97528973
123,4787.97510253
124,4895.9097109
125,4967.92225323
126,4895.94983144
127,4787.9251213
128,4787.93766324
129,4859.91145605
130,4967.93597873
131,5111.9464615
132,5183.91887167
133,5111.95930624
134,5003.94833387
135,4931.94833387
136,4895.97454106
137,5039.96106273
138,5219.95919075
139,5219.91875661
140,5111.90677613
141,4931.92282081
142,4859.96213219
143,4860.0
144,4931.97379227
145,5075.9336637
146,5075.9467675
147,5003.98689607
148,4968.0
149,4823.98783206
150,4823.93616594
151,5075.8944214
152,5219.91875661
153,5219.94571256
154,5147.97304348
155,5075.94758509
156,4931.93504276
157,4895.96137594
158,5003.90839998
159,5111.92100337
160,5183.93260919
161,5111.90677613
162,4967.92225562
163,4787.93723126
164,4787.96293472
165,4931.97435373
166,4967.93541714
167,5039.93504274
168,5075.92093859
169,5003.88256359
170,4967.92225215
171,4931.94845934
172,5003.97454106
