num,angular_velocity
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.917544522651
17,2.29386130663
18,3.67008221121
19,5.04565323359
20,5.96316004671
21,6.88122132613
22,8.71623302569
23,10.5515510758
24,11.0104186636
25,11.4691288996
26,12.8452020918
27,13.7625939411
28,13.7628815733
29,14.2214868547
30,15.139021835
31,16.0565169964
32,16.056435888
33,16.9740297679
34,17.8916458566
35,17.4328926794
36,17.4326207333
37,16.9739534321
38,17.4330882919
39,18.3505087704
40,18.8090806441
41,18.8089852284
42,17.8913691416
43,17.891559975
44,18.3506041881
45,17.8916649483
46,18.3498341453
47,18.8087715501
48,18.3505069294
49,18.8091665239
50,19.2678338213
51,19.2677336348
52,18.8089690808
53,18.8090692673
54,18.8089756826
55,19.2679387809
56,19.2678433632
57,18.8088802649
58,19.2675332556
59,19.2678338276
60,19.2681343933
61,19.2679340099
62,19.2679340099
63,19.2678338213
64,19.2680342089
65,18.8093764494
66,19.2679367624
67,19.7267929743
68,19.2677317081
69,19.7266013177
70,19.7268016928
71,19.2679340099
72,19.2680342005
73,18.8091760618
74,18.8088754961
75,19.2678338276
76,19.2677336432
77,19.2674311445
78,19.2679320874
79,19.7264772789
80,20.185349735
81,19.727207237
82,19.2684349757
83,19.2680322822
84,19.267731704
85,19.2677336307
86,19.7262796436
87,20.1854526717
88,19.7269066588
89,18.8087877892
90,18.8087877892
91,18.8089804535
92,19.268053293
93,20.1859794983
94,19.7267043571
95,19.7263874472
96,19.7267901322
97,19.2681324665
98,19.2681305397
99,19.2675294273
100,19.2672307822
101,18.8092619476
102,19.2681200842
103,19.7267921507
104,19.7264772789
105,19.7261767069
106,19.2677336307
107,19.2679340099
108,19.7265869985
109,19.7266871913
110,19.2678338276
111,19.7263913923
112,19.726691958
113,19.2680322738
114,19.7265830533
115,19.7261823034
116,19.2674311446
117,18.8091665239
118,18.8090644108
119,18.8087781518
120,18.8092810317
121,19.2681324707
122,18.8090739444
123,18.8091741351
124,19.2682326613
125,19.2683347808
126,19.268234586
127,19.2681343933
128,19.7269018834
129,20.1852427507
130,19.7264752606
131,18.8091790019
132,18.3501234179
133,18.8090788092
134,19.7265869985
135,19.7267873861
136,19.7266824288
137,19.7266824288
138,19.2679340224
139,19.2676334442
140,19.2678338192
141,19.2676334442
142,19.2678338276
143,19.2679320874
144,19.267731704
145,19.2681343975
146,18.8093764494
147,18.8090739444
148,19.7267997661
149,19.7267015042
150,19.2680342089
151,19.7265774737
152,19.7259744095
153,19.7259744095
154,19.7259763361
155,19.2673328847
156,19.2674330691
157,19.7267062837
158,19.7268064702
159,19.2677336307
160,19.7265917673
161,19.7263913923
162,19.7260745021
163,19.7261746886
164,19.2680342089
165,19.2684349757
166,19.2682345881
167,19.7264820413
168,19.7260812911
169,19.2673309581
170,19.267531329
171,19.7263866193
